Paper ID	Biological Process	Title	Current Tags
WBPaper00039835.ce.mr.paper	aging | GO:0007568	Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion
WBPaper00039878.ce.mr.paper	aging | GO:0007568	Extension of lifespan in C. elegans by naphthoquinones that act through stress hormesis mechanisms.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00040116.ce.mr.paper	aging | GO:0007568	Lifespan-extending effects of royal jelly and its related substances on the nematode Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00040184.ce.mr.paper	aging | GO:0007568	The evolutionarily conserved longevity determinants HCF-1 and SIR-2.1/SIRT1 collaborate to regulate DAF-16/FOXO.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00040327.ce.mr.paper	aging | GO:0007568	Transgenerational epigenetic inheritance of longevity in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00040603.ce.mr.paper	aging | GO:0007568	Caenorhabditis elegans RNA-processing protein TDP-1 regulates protein homeostasis and life span.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00040858.ce.mr.paper	aging | GO:0007568	Aging Uncouples Heritability and Expression-QTL in Caenorhabditis elegans	Method: microarray|Species: Caenorhabditis elegans
WBPaper00040959.ce.rs.paper	aging | GO:0007568	Impaired insulin/IGF1 signaling extends life span by promoting mitochondrial L-proline catabolism to induce a transient ROS signal.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00040963.ce.mr.paper	aging | GO:0007568	Meta-Analysis of Global Transcriptomics Suggests that Conserved Genetic Pathways are Responsible for Quercetin and Tannic Acid Mediated Longevity in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00041906.ce.mr.paper	aging | GO:0007568	Anti-inflammatory Lactobacillus rhamnosus CNCM I-3690 strain protects against oxidative stress and increases lifespan in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00042034.ce.rs.paper	aging | GO:0007568	Bacterial nitric oxide extends the lifespan of C. elegans.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00042296.ce.rs.paper	aging | GO:0007568	DAF-16 employs the chromatin remodeller SWI/SNF to promote stress resistance and longevity.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00044005.ce.mr.paper	aging | GO:0007568	PQM-1 complements DAF-16 as a key transcriptional regulator of DAF-2-mediated development and longevity.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00044037.ce.rs.paper	aging | GO:0007568	Dietary restriction induced longevity is mediated by nuclear receptor NHR-62 in Caenorhabditis elegans.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00044163.ce.mr.paper	aging | GO:0007568	DNA damage leads to progressive replicative decline but extends the life span of long-lived mutant animals.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00044535.ce.mr.paper	aging | GO:0007568	Males shorten the life span of C. elegans hermaphrodites via secreted compounds.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00044638.ce.mr.paper	aging | GO:0007568	Germline signaling mediates the synergistically prolonged longevity produced by double mutations in daf-2 and rsks-1 in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00045036.ce.mr.paper	aging | GO:0007568	A novel kinase regulates dietary restriction-mediated longevity in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00046496.ce.mr.paper	aging | GO:0007568	Rifampicin reduces advanced glycation end products and activates DAF-16 to increase lifespan in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00051304.ce.mr.paper	aging | GO:0007568	Transcription factors CEP-1/p53 and CEH-23 collaborate with AAK-2/AMPK to modulate longevity in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00053427.ce.mr.paper	aging | GO:0007568	Transcriptome States Reflect Imaging of Aging States.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00032031_2.ce.mr.paper	aging | GO:0007568, innate immune response | GO:0045087	Anti-fungal innate immunity in C. elegans is enhanced by evolutionary diversification of antimicrobial peptides.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00032031.ce.mr.paper	aging | GO:0007568, innate immune response | GO:0045087	Anti-fungal innate immunity in C. elegans is enhanced by evolutionary diversification of antimicrobial peptides.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00045571.ce.mr.paper	aging | GO:0007568, innate immune response | GO:0045087	A functional genomic screen for evolutionarily conserved genes required for lifespan and immunity in germline-deficient C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: aging|Topic: mitochondrion|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response|Tissue Specific
WBPaper00032430.ce.mr.paper	aging | GO:0007568, response to starvation | GO:0042594	Signalling through RHEB-1 mediates intermittent fasting-induced longevity in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00037682.ce.mr.paper	aging | GO:0007568, Tissue Specific: germline	TGF- and insulin signaling regulate reproductive aging via oocyte and germline quality maintenance.	Method: microarray|Species: Caenorhabditis elegans|Topic: programmed cell death|Topic: apoptotic DNA fragmentation|Topic: apoptotic process|Topic: engulfment of apoptotic cell|Tissue Specific
WBPaper00005859.ce.mr.paper	dauer larval development | GO:0040024	gene expression – general of dauer gene expression in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00024393.ce.mr.paper	dauer larval development | GO:0040024	Regulation of signaling genes by TGFbeta during entry into dauer diapause in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: dauer larval development
WBPaper00034739.ce.mr.paper	dauer larval development | GO:0040024	Natural variation in gene expression in the early development of dauer larvae of Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: dauer larval development
WBPaper00038237.ce.mr.paper	dauer larval development | GO:0040024	Co-regulation of the DAF-16 target gene, cyp-35B1/dod-13, by HSF-1 in C. elegans dauer larvae and daf-2 insulin pathway mutants.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00041207.ce.mr.paper	dauer larval development | GO:0040024	Divergent gene expression in the conserved dauer stage of the nematodes Pristionchus pacificus and Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00041207.ppa.mr.paper	dauer larval development | GO:0040024	Divergent gene expression in the conserved dauer stage of the nematodes Pristionchus pacificus and Caenorhabditis elegans.	Method: microarray|Species: Pristionchus pacificus
WBPaper00044578.ce.mr.paper	dauer larval development | GO:0040024	Molecular strategies of the Caenorhabditis elegans dauer larva to survive extreme desiccation.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00050488.ce.mr.paper	dauer larval development | GO:0040024	MicroRNA mir-34 provides robustness to environmental stress response via the DAF-16 network in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00041876.ce.mr.paper	dauer larval development | GO:0040024, aging | GO:0007568	Genes that act downstream of sensory neurons to influence longevity, dauer formation, and pathogen responses in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00004489.ce.mr.paper	developmental time course	Genome-wide analysis of developmental and sex-regulated gene expression profiles in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: Wnt signaling pathway|Topic: canonical Wnt signaling pathway
WBPaper00004386.ce.mr.paper	developmental time course	Genomic analysis of gene expression in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: developmental process|Topic: developmental growth|Topic: regulation of developmental growth|Topic: regulation of developmental process|Tissue Specific
WBPaper00041190.cbg.mr.paper	developmental time course	Developmental milestones punctuate gene expression in the Caenorhabditis embryo.	Method: microarray|Species: Caenorhabditis briggsae
WBPaper00041190.cbn.mr.paper	developmental time course	Developmental milestones punctuate gene expression in the Caenorhabditis embryo.	Method: microarray|Species: Caenorhabditis brenneri
WBPaper00041190.ce.mr.paper	developmental time course	Developmental milestones punctuate gene expression in the Caenorhabditis embryo.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00041190.cja.mr.paper	developmental time course	Developmental milestones punctuate gene expression in the Caenorhabditis embryo.	Method: microarray|Species: Caenorhabditis japonica
WBPaper00041190.cre.mr.paper	developmental time course	Developmental milestones punctuate gene expression in the Caenorhabditis embryo.	Method: microarray|Species: Caenorhabditis remanei
WBPaper00042241.bma.rs.paper	developmental time course	A deep sequencing approach to comparatively analyze the transcriptome of lifecycle stages of the filarial worm, Brugia malayi.	Method: RNAseq|Species: Brugia malayi
WBPaper00044760.cbg.rs.paper	developmental time course	Conservation of mRNA and protein expression during development of C. elegans.	Method: RNAseq|Species: Caenorhabditis briggsae
WBPaper00044760.ce.rs.paper	developmental time course	Conservation of mRNA and protein expression during development of C. elegans.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00037950.ce.tr.paper	developmental time course, Tissue Specific: neuron, Tissue Specific: muscle, Tissue Specific: other	TilingArray: A spatial and temporal map of C. elegans gene expression.	Method: tiling array|Species: Caenorhabditis elegans|Tissue Specific
WBPaper00005751.ce.mr.paper	disease	Gene expression analysis in a transgenic Caenorhabditis elegans Alzheimer's disease model.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00024375.ce.mr.paper	disease	Genetic analysis of pathways regulated by the von Hippel-Lindau tumor suppressor in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00028949.ce.mr.paper	disease	Identification of ciliary and ciliopathy genes in Caenorhabditis elegans through comparative genomics.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00035654.ce.mr.paper	disease	Global microRNA expression profiling of Caenorhabditis elegans Parkinson's disease models.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00045934.ce.rs.paper	disease	Expression profile of Caenorhabditis elegans mutant for the Werner syndrome gene ortholog reveals the impact of vitamin C on development to increase life span.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00046102.ce.mr.paper	disease	Identifying A-specific pathogenic mechanisms using a nematode model of Alzheimer's disease.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00038427.ce.mr.paper	DNA binding | GO:0003677	Chromosome-biased binding and gene regulation by the Caenorhabditis elegans DRM complex.	Method: microarray|Species: Caenorhabditis elegans|Tissue Specific
WBPaper00044545.ce.mr.paper	DNA binding | GO:0003677	Opposing activities of DRM and MES-4 tune gene expression and X-chromosome repression in Caenorhabditis elegans germ cells.	Method: microarray|Species: Caenorhabditis elegans|Tissue Specific
WBPaper00038060.ce.mr.paper	DNA repair | GO:0006281	Overexpression of SUMO perturbs the growth and development of Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00032976.ce.mr.paper	dosage compensation | GO:0007549	A condensin-like dosage compensation complex acts at a distance to control expression throughout the genome.	Method: microarray|Species: Caenorhabditis elegans|Topic: dosage compensation by hypoactivation of X chromosome|Topic: dosage compensation
WBPaper00035408.ce.mr.paper	dosage compensation | GO:0007549	The C. elegans dosage compensation complex propagates dynamically and independently of X chromosome sequence.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00038180.ce.mr.paper	dosage compensation | GO:0007549	An MLL/COMPASS subunit functions in the C. elegans dosage compensation complex to target X chromosomes for transcriptional regulation of gene expression.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00044197.ce.mr.paper	dosage compensation | GO:0007549	SUMOylation is essential for sex-specific assembly and function of the Caenorhabditis elegans dosage compensation complex on X chromosomes.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00005767.ce.mr.paper	embryo development | GO:0009790	Composition and dynamics of the Caenorhabditis elegans early embryonic transcriptome.	Method: microarray|Species: Caenorhabditis elegans|Topic: embryo development|Topic: gene expression
WBPaper00005303.ce.mr.paper	gene expression - general	A gene expression – general of Caenorhabditis elegans operons.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00031443.ce.rs.paper	gene expression - general	Whole-genome sequencing and variant discovery in C. elegans.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00032529.cbg.rs.paper	gene expression - general	Massively parallel sequencing of the polyadenylated transcriptome of C. elegans.	Method: RNAseq|Species: Caenorhabditis briggsae|Tissue Specific
WBPaper00032529.cbn.rs.paper	gene expression - general	Massively parallel sequencing of the polyadenylated transcriptome of C. elegans.	Method: RNAseq|Species: Caenorhabditis brenneri|Tissue Specific
WBPaper00032529.cja.rs.paper	gene expression - general	Massively parallel sequencing of the polyadenylated transcriptome of C. elegans.	Method: RNAseq|Species: Caenorhabditis japonica|Tissue Specific
WBPaper00032529.cre.rs.paper	gene expression - general	Massively parallel sequencing of the polyadenylated transcriptome of C. elegans.	Method: RNAseq|Species: Caenorhabditis remanei|Tissue Specific
WBPaper00036038.ppa.rs.paper	gene expression - general	Proteogenomics of Pristionchus pacificus reveals distinct proteome structure of nematode models.	Method: RNAseq|Species: Pristionchus pacificus
WBPaper00037732.ce.rs.paper	gene expression - general	Scaffolding a Caenorhabditis nematode genome with RNA-seq.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00037948.ce.rs.paper	gene expression - general	Multimodal RNA-seq using single-strand, double-strand, and CircLigase-based capture yields a refined and extended description of the C. elegans transcriptome.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00037949.ce.mr.paper	gene expression - general	High nucleosome occupancy is encoded at X-linked gene promoters in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00037953.ce.rs.paper	gene expression - general	Integrative analysis of the Caenorhabditis elegans genome by the modENCODE project.	Method: RNAseq|Species: Caenorhabditis elegans|Tissue Specific
WBPaper00041271.cbg.rs.paper	gene expression - general	RNA-seq analysis of the C. briggsae transcriptome.	Method: RNAseq|Species: Caenorhabditis briggsae
WBPaper00041689.cbg.rs.paper	gene expression - general	Simplification and desexualization of gene expression in self-fertile nematodes.	Method: RNAseq|Species: Caenorhabditis briggsae
WBPaper00041689.cbn.rs.paper	gene expression - general	Simplification and desexualization of gene expression in self-fertile nematodes.	Method: RNAseq|Species: Caenorhabditis brenneri
WBPaper00041689.ce.rs.paper	gene expression - general	Simplification and desexualization of gene expression in self-fertile nematodes.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00041689.cja.rs.paper	gene expression - general	Simplification and desexualization of gene expression in self-fertile nematodes.	Method: RNAseq|Species: Caenorhabditis japonica
WBPaper00041689.cre.rs.paper	gene expression - general	Simplification and desexualization of gene expression in self-fertile nematodes.	Method: RNAseq|Species: Caenorhabditis remanei
WBPaper00044391.ce.rs.paper	gene expression - general	Large-scale detection of in vivo transcription errors.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00045465.cbg.rs.paper	gene expression - general	Conserved translatome remodeling in nematode species executing a shared developmental transition.	Method: RNAseq|Species: Caenorhabditis briggsae
WBPaper00045465.cbn.rs.paper	gene expression - general	Conserved translatome remodeling in nematode species executing a shared developmental transition.	Method: RNAseq|Species: Caenorhabditis brenneri
WBPaper00045465.ce.rs.paper	gene expression - general	Conserved translatome remodeling in nematode species executing a shared developmental transition.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00045465.cre.rs.paper	gene expression - general	Conserved translatome remodeling in nematode species executing a shared developmental transition.	Method: RNAseq|Species: Caenorhabditis remanei
WBPaper00048910.ce.ms.paper	gene expression - general	Conserved mRNA-binding proteomes in eukaryotic organisms.	Method: proteomics|Species: Caenorhabditis elegans
WBPaper00050091.ce.ms.paper	gene expression - general	Polar Positioning of Phase-Separated Liquid Compartments in Cells Regulated by an mRNA Competition Mechanism.	Method: proteomics|Species: Caenorhabditis elegans
WBPaper00050919.ce.ms.paper	gene expression - general	The genomic basis of parasitism in the Strongyloides clade of nematodes.	Method: proteomics|Species: Caenorhabditis elegans
WBPaper00038011.ce.mr.paper	gene expression - general	Few gene expression differences between C. elegans grown in liquid versus on plates	Method: microarray|Species: Caenorhabditis elegans
WBPaper00031252.ce.mr.paper	gene silencing by miRNA | GO:0035195	Systematic identification of C. elegans miRISC proteins, miRNAs, and mRNA targets by their interactions with GW182 proteins AIN-1 and AIN-2.	Method: microarray|Species: Caenorhabditis elegans|Topic: regulation of pre-miRNA processing|Topic: regulation of primary miRNA processing|Topic: production of miRNAs involved in gene silencing by miRNA
WBPaper00035084.ce.mr.paper	gene silencing by miRNA | GO:0035195	Systematic analysis of dynamic miRNA-target interactions during C. elegans development.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00035664.ce.mr.paper	gene silencing by miRNA | GO:0035195	Many families of C. elegans microRNAs are not essential for development or viability.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00035973.ce.mr.paper	gene silencing by miRNA | GO:0035195	The microRNA miR-124 controls gene expression in the sensory nervous system of Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00036130.ce.mr.paper	gene silencing by miRNA | GO:0035195	MicroRNA-directed siRNA biogenesis in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: regulation of pre-miRNA processing|Topic: regulation of primary miRNA processing|Topic: production of miRNAs involved in gene silencing by miRNA
WBPaper00040925.ce.mr.paper	gene silencing by miRNA | GO:0035195	RIP-chip-SRM--a new combinatorial large-scale approach identifies a set of translationally regulated bantam/miR-58 targets in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00041361.ce.rs.paper	gene silencing by miRNA | GO:0035195	Contributions of mRNA abundance, ribosome loading, and post- or peri-translational effects to temporal repression of C. elegans heterochronic miRNA targets.	Method: RNAseq|Species: Caenorhabditis elegans
WBPaper00050903.ce.mr.paper	gene silencing by miRNA | GO:0035195	A microRNA family exerts maternal control on sex determination in C. elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00044857.ce.mr.paper	unclassified	Use of an activated beta-catenin to identify Wnt pathway target genes in caenorhabditis elegans, including a subset of collagen genes expressed in late larval development.	Method: microarray|Species: Caenorhabditis elegans|Topic: Wnt signaling pathway|Topic: canonical Wnt signaling pathway
WBPaper00045417.ce.mr.paper	unclassified	The Wnt receptor Ryk reduces neuronal and cell survival capacity by repressing FOXO activity during the early phases of mutant huntingtin pathogenicity.	Method: microarray|Species: Caenorhabditis elegans|Topic: Wnt signaling pathway|Topic: canonical Wnt signaling pathway|Tissue Specific
WBPaper00046887.ce.mr.paper	unclassified	Identification of Wnt Pathway Target Genes Regulating the Division and Differentiation of Larval Seam Cells and Vulval Precursor Cells in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: Wnt signaling pathway|Topic: canonical Wnt signaling pathway
WBPaper00037953.ce.tr.paper	innate immune response | GO:0045087	TilingArray: Integrative analysis of the Caenorhabditis elegans genome by the modENCODE project.	Method: tiling array|Species: Caenorhabditis elegans|Tissue Specific
WBPaper00006488.ce.mr.paper	innate immune response | GO:0045087	TLR-independent control of innate immunity in Caenorhabditis elegans by the TIR domain adaptor protein TIR-1, an ortholog of human SARM.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00027722.ce.mr.paper	innate immune response | GO:0045087	Genomic clusters, putative pathogen recognition molecules, and antimicrobial genes are induced by infection of C. elegans with M. nematophilum.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00028482.ce.mr.paper	innate immune response | GO:0045087	A conserved role for a GATA transcription factor in regulating epithelial innate immune responses.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00029437.ce.mr.paper	innate immune response | GO:0045087	Genes misregulated in C. elegans deficient in Dicer, RDE-4, or RDE-1 are enriched for innate immunity genes.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00030985.ce.mr.paper	innate immune response | GO:0045087	Genome-wide investigation reveals pathogen-specific and shared signatures in the response of Caenorhabditis elegans to infection.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00032276.ce.mr.paper	innate immune response | GO:0045087	Pseudomonas aeruginosa suppresses host immunity by activating the DAF-2 insulin-like signaling pathway in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00033094.ce.mr.paper	innate immune response | GO:0045087	Antifungal innate immunity in C. elegans: PKCdelta links G protein signaling and a conserved p38 MAPK cascade.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00035891.ce.mr.paper	innate immune response | GO:0045087	bZIP transcription factor zip-2 mediates an early response to Pseudomonas aeruginosa infection in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00035892.ce.mr.paper	innate immune response | GO:0045087	A conserved PMK-1/p38 MAPK is required in caenorhabditis elegans tissue-specific immune response to Yersinia pestis infection.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00036464.ce.mr.paper	innate immune response | GO:0045087	Distinct pathogenesis and host responses during infection of C. elegans by P. aeruginosa and S. aureus.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00039851.ce.mr.paper	innate immune response | GO:0045087	Candida albicans infection of Caenorhabditis elegans induces antifungal immune defenses.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00040410.ce.mr.paper	innate immune response | GO:0045087	Novel roles of Caenorhabditis elegans heterochromatin protein HP1 and linker histone in the regulation of innate immune gene expression.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00040990.ce.mr.paper	innate immune response | GO:0045087	Dissociation of immune responses from pathogen colonization supports pattern recognition in C. elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00041163.ce.mr.paper	innate immune response | GO:0045087	Genomic analysis of immune response against Vibrio cholerae hemolysin in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response|Topic: response to unfolded protein|Topic: endoplasmic reticulum|Topic: mitochondrion|Topic: cytosol
WBPaper00041466.ppa.mr.paper	innate immune response | GO:0045087	Genome-wide analysis of germline signaling genes regulating longevity and innate immunity in the nematode Pristionchus pacificus.	Method: microarray|Species: Pristionchus pacificus
WBPaper00041606.ce.mr.paper	innate immune response | GO:0045087	System wide analysis of the evolution of innate immunity in the nematode model species Caenorhabditis elegans and Pristionchus pacificus.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00041606.ppa.mr.paper	innate immune response | GO:0045087	System wide analysis of the evolution of innate immunity in the nematode model species Caenorhabditis elegans and Pristionchus pacificus.	Method: microarray|Species: Pristionchus pacificus|Topic: innate immune response
WBPaper00042574.ce.mr.paper	innate immune response | GO:0045087	Competition between virus-derived and endogenous small RNAs regulates gene expression in Caenorhabditis elegans.	Method: microarray|Species: Caenorhabditis elegans
WBPaper00044013.ce.mr.paper	innate immune response | GO:0045087	New role for DCR-1/dicer in Caenorhabditis elegans innate immunity against the highly virulent bacterium Bacillus thuringiensis DB27.	Method: microarray|Species: Caenorhabditis elegans|Topic: innate immune response
WBPaper00044091.ce.mr.paper	innate immune response | GO:0045087	Burkholderia pseudomallei suppresses Caenorhabditis elegans immunity by specific degradation of a GATA transcription factor.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00045918.ce.mr.paper	innate immune response | GO:0045087	Recovery from an acute infection in C. elegans requires the GATA transcription factor ELT-2.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
WBPaper00046083.ce.mr.paper	innate immune response | GO:0045087	Conserved nutrient sensor O-GlcNAc transferase is integral to C. elegans pathogen-specific immunity.	Method: microarray|Species: Caenorhabditis elegans|Topic: defense response|Topic: defense response to other organism|Topic: innate immune response
